,pl_name,hostname,pl_bmasse,pl_orbper,pl_orbsmax,st_mass
977,HD 183263 c,HD 183263,2958.98246917,4667.97841,5.585,1.06
978,HD 183263 c,HD 183263,2192.93,4684,5.69,1.06
979,55 Cnc d,55 Cnc,908.98924402,4820,5.54,0.974708
980,55 Cnc d,55 Cnc,1232.493,4825,5.503,0.95
981,55 Cnc d,55 Cnc,1226.77,4867,5.446,0.9
982,HD 190984 b,HD 190984,985.2,4885,5.5,0.91
983,55 Cnc d,55 Cnc,1121.89,4909,5.47,0.9
984,HD 134987 c,HD 134987,260,5000,5.8,1.1
985,HD 183263 c,HD 183263,2529.91411972,5010,6.037,1.170583
986,55 Cnc d,55 Cnc,1218.827,5218,5.77,0.9
987,55 Cnc d,55 Cnc,1287.2115,5360,5.9,0.95
988,55 Cnc d,55 Cnc,1220.42,5370,5.84,0.9
989,55 Cnc d,55 Cnc,991.6,5574.2,5.957,0.905
990,HAT-P-17 c,HAT-P-17,1080.6,5584,5.6,0.92
991,HD 134987 c,HD 134987,297.16956055,5960,6.62,1.092644
992,bet Pic b,bet Pic,2542.533,6000,8,1.95
993,HD 181433 d,HD 181433,194.51098508,7012,6.6,0.78
994,bet Pic b,bet Pic,3146.517,7800,9,1.75
995,bet Pic b,bet Pic,3727.8093857,8617.50952,10.018,1.795
996,HD 190984 b,HD 190984,1137.82569706,9970,8.8,0.91
997,DP Leo b,DP Leo,1922.79,10220,8.19,0.69
998,47 UMa d,47 UMa,521.22,14002,11.6,1.06
999,47 UMa d,47 UMa,479.92089457,19000,13.8,1.005192
